Graph,K,Seed,Cut,Epsilon,Imbalance,Time,MaxRSS,Threads,Failed
"bn-human-Jung2015_M87128519_1",64,4,26467763,0.03,0.029932,4.05,4829284,96,0
"bn-human-Jung2015_M87128519_1",8,4,9248870,0.03,0.029999,0.933,1436160,96,0
"bn-human-Jung2015_M87128519_1",91,4,32643985,0.03,0.029993,5.203,5150072,96,0
"bn-human-Jung2015_M87128519_1",1000,5,90837972,0.03,0.029002,12.403,6939656,96,0
"bn-human-Jung2015_M87128519_1",128,5,37461820,0.03,0.029857,5.375,5719056,96,0
"bn-human-Jung2015_M87128519_1",37,5,19681939,0.03,0.029972,4.278,3866968,96,0
"bn-human-Jung2015_M87128519_1",64,5,26576815,0.03,0.029932,4.352,4580684,96,0
"bn-human-Jung2015_M87128519_1",8,5,8435366,0.03,0.029999,2.957,2183948,96,0
"bn-human-Jung2015_M87128519_1",91,5,32522542,0.03,0.029993,5.401,5249744,96,0
"boneS10",1000,1,3559786,0.03,0.029508,4.777,1837996,96,0
"boneS10",128,1,917989,0.03,0.029938,0.744,1422472,96,0
"boneS10",37,1,413333,0.03,0.029967,1.031,1256484,96,0
"boneS10",64,1,575256,0.03,0.029938,1.027,1437016,96,0
"boneS10",8,1,152298,0.03,0.021301,0.576,674936,96,0
"boneS10",91,1,759788,0.03,0.029938,0.727,1377928,96,0
"boneS10",1000,2,3573242,0.03,0.029508,5.154,1820644,96,0
"boneS10",128,2,930281,0.03,0.029938,0.785,1468816,96,0
"boneS10",37,2,410426,0.03,0.029967,1.042,1203672,96,0
"boneS10",64,2,574856,0.03,0.029938,0.988,1440468,96,0
"boneS10",8,2,176027,0.03,0.028278,0.585,669324,96,0
"boneS10",91,2,744652,0.03,0.029938,0.718,1389204,96,0
"boneS10",1000,3,3576735,0.03,0.029508,5.745,1844380,96,0
"boneS10",128,3,919144,0.03,0.029938,0.808,1414468,96,0
"boneS10",37,3,407698,0.03,0.029967,1.052,1301576,96,0
"boneS10",64,3,568089,0.03,0.029938,1.054,1459200,96,0
"boneS10",8,3,159664,0.03,0.029992,0.576,683964,96,0
"boneS10",91,3,735488,0.03,0.029938,0.701,1346496,96,0
"boneS10",1000,4,3555873,0.03,0.029508,4.836,1804840,96,0
"boneS10",128,4,917264,0.03,0.029938,0.799,1416608,96,0
"boneS10",37,4,391722,0.03,0.029927,1.058,1264188,96,0
"boneS10",64,4,573274,0.03,0.029938,1.045,1448612,96,0
"boneS10",8,4,160619,0.03,0.023976,0.568,675580,96,0
"boneS10",91,4,728392,0.03,0.029938,0.76,1346380,96,0
"boneS10",1000,5,3556886,0.03,0.029508,4.818,1817736,96,0
"boneS10",128,5,915386,0.03,0.029938,0.758,1415888,96,0
"boneS10",37,5,396551,0.03,0.029967,1.118,1332912,96,0
"boneS10",64,5,603263,0.03,0.029938,1.041,1458628,96,0
"boneS10",8,5,143959,0.03,0.029564,0.58,679264,96,0
"boneS10",91,5,742721,0.03,0.029938,0.754,1354924,96,0
"Bump_2911",1000,1,8921531,0.03,0.029876,18.859,3718292,96,0
"Bump_2911",128,1,4294513,0.03,0.029983,3.065,3072360,96,0
"Bump_2911",37,1,2652719,0.03,0.029992,2.035,1713644,96,0
"Bump_2911",64,1,3323730,0.03,0.029984,2.327,2356768,96,0
"Bump_2911",8,1,1238278,0.03,0.029998,0.638,567148,96,0
"Bump_2911",91,1,3801145,0.03,0.029974,2.776,2812996,96,0
"Bump_2911",1000,2,8892959,0.03,0.029876,18.738,3678380,96,0
"Bump_2911",128,2,4301035,0.03,0.029983,3.129,2717932,96,0
"Bump_2911",37,2,2623851,0.03,0.029992,2.237,1709748,96,0
"Bump_2911",64,2,3360323,0.03,0.029984,2.463,2222156,96,0
"Bump_2911",8,2,1234863,0.03,0.029998,0.606,574880,96,0
"Bump_2911",91,2,3773447,0.03,0.029974,2.956,2802108,96,0
